SNP,shoot_mass,growth_init,growth_cess,cold_injury,scaffold,contig,pos.on.contig,is.signif
scaffold31059_17239_21650__2321,0.206705,0.146338,0.66674,0.584059,scaffold31059,scaffold31059_17239_21650,2321,0
scaffold31898_52666_54785__469,0.520121,0.460171,0.451906,0.511317,scaffold31898,scaffold31898_52666_54785,469,0
scaffold34114_77516_78071__351,0.998127,0.979024,0.999512,0.914203,scaffold34114,scaffold34114_77516_78071,351,0
scaffold357036.1_81166_81647__128,0.986894,0.624612,0.340358,0.812453,scaffold357036.1,scaffold357036.1_81166_81647,128,0
scaffold364756.1_225654_228266__2101,0.981849,0.599279,0.419298,0.362166,scaffold364756.1,scaffold364756.1_225654_228266,2101,0
scaffold364983_30844_39962__894,0.396949,0.461149,0.722512,0.930356,scaffold364983,scaffold364983_30844_39962,894,0
scaffold365063_69561_77212__3907,0.505817,0.706578,0.410879,0.3574,scaffold365063,scaffold365063_69561_77212,3907,0
scaffold385998.1_77789_83177__2284,0.858803,0.821927,0.862495,0.796058,scaffold385998.1,scaffold385998.1_77789_83177,2284,0
scaffold386681.1_4636_8016__2564,0.892401,0.964979,0.912535,0.939359,scaffold386681.1,scaffold386681.1_4636_8016,2564,0
scaffold430034_28745_30365__900,0.999992,0.819678,0.880967,0.732851,scaffold430034,scaffold430034_28745_30365,900,0
scaffold444556.2_19771_25095__959,0.958737,0.968163,0.966658,0.94294,scaffold444556.2,scaffold444556.2_19771_25095,959,0
scaffold445569.1_114771_115530__211,0.979048,0.950613,0.995507,0.973897,scaffold445569.1,scaffold445569.1_114771_115530,211,0
scaffold457392.2_7693_8230__236,0.721863,0.220183,0.73562,0.492887,scaffold457392.2,scaffold457392.2_7693_8230,236,0
scaffold465454_23785_25398__747,0.933462,0.971981,0.80261,0.826155,scaffold465454,scaffold465454_23785_25398,747,0
scaffold471214.2_19066_19705__185,0.950078,0.486828,0.973842,0.671396,scaffold471214.2,scaffold471214.2_19066_19705,185,0
scaffold473789_368358_372068__2259,0.956147,0.96315,0.996161,0.915372,scaffold473789,scaffold473789_368358_372068,2259,0
scaffold513727_51130_53852__1819,0.579867,0.61386,0.50334,0.728385,scaffold513727,scaffold513727_51130_53852,1819,0
scaffold533494.2_52237_53728__942,0.873302,0.894297,0.835971,0.831149,scaffold533494.2,scaffold533494.2_52237_53728,942,0
scaffold548280.1_24386_31057__4113,0.758434,0.877698,0.859894,0.938675,scaffold548280.1,scaffold548280.1_24386_31057,4113,0
scaffold5514.2_3034_6064__710,0.839928,0.263087,0.541013,0.830461,scaffold5514.2,scaffold5514.2_3034_6064,710,0
scaffold586260_48260_60581__10765,0.844,0.496816,0.776564,0.962029,scaffold586260,scaffold586260_48260_60581,10765,0
scaffold586744_122414_124677__867,0.929255,0.668277,0.978819,0.964314,scaffold586744,scaffold586744_122414_124677,867,0
scaffold609506_88240_92748__3672,0.851762,0.558378,0.971711,0.483589,scaffold609506,scaffold609506_88240_92748,3672,0
scaffold61233_16976_19866__1945,0.858195,0.616154,0.999647,0.855301,scaffold61233,scaffold61233_16976_19866,1945,0
scaffold631718_34077_37714__2671,0.764232,0.206402,0.200405,0.150444,scaffold631718,scaffold631718_34077_37714,2671,0
scaffold656547_27258_39532__11559,0.646042,0.848846,0.95819,0.652398,scaffold656547,scaffold656547_27258_39532,11559,0
scaffold658249.1_698045_700225__1441,0.967208,0.939533,0.91725,0.907789,scaffold658249.1,scaffold658249.1_698045_700225,1441,0
scaffold658996_12741_19416__1176,0.849419,0.842254,0.844676,0.985507,scaffold658996,scaffold658996_12741_19416,1176,0
scaffold659823_37968_44867__6676,0.813923,0.942212,0.857838,0.896625,scaffold659823,scaffold659823_37968_44867,6676,0
scaffold70043.1_11659_14849__444,0.778093,0.99185,0.718661,0.760791,scaffold70043.1,scaffold70043.1_11659_14849,444,0
scaffold706499.1_35163_36826__1102,0.742828,0.602791,0.865027,0.927748,scaffold706499.1,scaffold706499.1_35163_36826,1102,0
scaffold708674_48438_50769__1366,0.7757,0.972072,0.756521,0.939427,scaffold708674,scaffold708674_48438_50769,1366,0
scaffold735570_15419_20503__4004,0.977418,0.949367,0.969385,0.867802,scaffold735570,scaffold735570_15419_20503,4004,0
scaffold743796_80691_82506__376,0.856794,0.946963,0.898628,0.594282,scaffold743796,scaffold743796_80691_82506,376,0
scaffold746001.1_61807_63621__1400,0.847845,0.747652,0.864068,0.90764,scaffold746001.1,scaffold746001.1_61807_63621,1400,0
scaffold753415_24172_29232__2081,0.56364,0.952791,0.622124,0.703928,scaffold753415,scaffold753415_24172_29232,2081,0
scaffold757399_6182_7606__229,0.974093,0.960569,0.963162,0.767997,scaffold757399,scaffold757399_6182_7606,229,0
scaffold758519.2_12947_13456__190,0.930676,0.696018,0.408048,0.788251,scaffold758519.2,scaffold758519.2_12947_13456,190,0
scaffold770768_11613_21348__4849,0.905071,0.388438,0.0485735,0.553393,scaffold770768,scaffold770768_11613_21348,4849,0
scaffold783035_148672_150577__842,0.200707,0.648045,0.115603,0.531599,scaffold783035,scaffold783035_148672_150577,842,0
scaffold810848_8736_15447__1447,0.670129,0.676716,0.938957,0.784353,scaffold810848,scaffold810848_8736_15447,1447,0
scaffold8376_126022_140969__13490,0.842709,0.400727,0.9583,0.592712,scaffold8376,scaffold8376_126022_140969,13490,0
scaffold839555.2_6230_11057__4348,0.77681,0.999023,0.834251,0.501718,scaffold839555.2,scaffold839555.2_6230_11057,4348,0
scaffold843865.1_115525_118705__2240,0.974072,0.740656,0.866773,0.728403,scaffold843865.1,scaffold843865.1_115525_118705,2240,0
scaffold849411.3_16151_19086__350,0.724358,0.845617,0.465676,0.570537,scaffold849411.3,scaffold849411.3_16151_19086,350,0
scaffold855336_90265_94408__1464,0.902725,0.958978,0.856601,0.701279,scaffold855336,scaffold855336_90265_94408,1464,0
scaffold856900_9137_14057__3268,0.139611,0.0867599,0.0846206,0.585622,scaffold856900,scaffold856900_9137_14057,3268,0
scaffold857844_5530_7164__1348,0.636842,0.918646,0.751651,0.815538,scaffold857844,scaffold857844_5530_7164,1348,0
scaffold858335_16809_17723__644,0.702187,0.675787,0.84713,0.472601,scaffold858335,scaffold858335_16809_17723,644,0
scaffold858884_5567_12661__733,0.73611,0.81534,0.422671,0.807008,scaffold858884,scaffold858884_5567_12661,733,0
scaffold861732.2_5296_7263__952,0.592289,0.486143,0.88137,0.911685,scaffold861732.2,scaffold861732.2_5296_7263,952,0
scaffold862759_24223_29017__3868,0.766703,0.544323,0.977581,0.953084,scaffold862759,scaffold862759_24223_29017,3868,0
scaffold874949_43573_49040__2040,0.290046,0.65803,0.530016,0.735791,scaffold874949,scaffold874949_43573_49040,2040,0
scaffold878240_28135_30200__794,0.754522,0.882103,0.900312,0.954852,scaffold878240,scaffold878240_28135_30200,794,0
scaffold884776_7635_10570__2216,0.991988,0.865004,0.778672,0.966167,scaffold884776,scaffold884776_7635_10570,2216,0
scaffold885080.4_18854_22003__2800,0.821312,0.807533,0.91726,0.994124,scaffold885080.4,scaffold885080.4_18854_22003,2800,0
scaffold886894.2_6219_7178__639,0.972441,0.919267,0.906468,0.84832,scaffold886894.2,scaffold886894.2_6219_7178,639,0
scaffold889154_7249_9050__1538,0.922786,0.934177,0.970617,0.970623,scaffold889154,scaffold889154_7249_9050,1538,0
scaffold892380.3_45554_47662__1609,0.864725,0.972099,0.767145,0.732405,scaffold892380.3,scaffold892380.3_45554_47662,1609,0
scaffold893358_9031_12294__1128,0.804848,0.434276,0.296233,0.537023,scaffold893358,scaffold893358_9031_12294,1128,0
scaffold895520.2_15181_18299__1533,0.106403,0.63004,0.0996126,0.630498,scaffold895520.2,scaffold895520.2_15181_18299,1533,0
scaffold898326_4682_5877__306,0.431301,0.0721707,0.247196,0.953424,scaffold898326,scaffold898326_4682_5877,306,0
scaffold901076_38971_46701__2742,0.910689,0.869512,0.958614,0.989648,scaffold901076,scaffold901076_38971_46701,2742,0
scaffold901512_5415_15585__3717,0.8046,0.912024,0.781097,0.8885,scaffold901512,scaffold901512_5415_15585,3717,0
scaffold904059_42194_45296__1955,0.629576,0.800324,0.586658,0.675013,scaffold904059,scaffold904059_42194_45296,1955,0
scaffold904530_26115_26496__173,0.982903,0.946188,0.882549,0.876818,scaffold904530,scaffold904530_26115_26496,173,0
tscaffold1202_859976_869090__7230,0.985785,0.691191,0.237123,0.593602,tscaffold1202,tscaffold1202_859976_869090,7230,0
tscaffold1351_5017_8179__1661,0.940393,0.563152,0.886621,0.841707,tscaffold1351,tscaffold1351_5017_8179,1661,0
tscaffold1401_437390_440750__1399,0.944157,0.704925,0.975629,0.891366,tscaffold1401,tscaffold1401_437390_440750,1399,0
tscaffold1790_574444_576067__948,0.727183,0.791663,0.751715,0.840374,tscaffold1790,tscaffold1790_574444_576067,948,0
tscaffold179_402643_403933__937,0.771774,0.783346,0.978302,0.839645,tscaffold179,tscaffold179_402643_403933,937,0
tscaffold2019_156628_157376__203,0.934945,0.934055,0.946806,0.866429,tscaffold2019,tscaffold2019_156628_157376,203,0
tscaffold2036_936006_938863__593,0.584753,0.957487,0.487621,0.989498,tscaffold2036,tscaffold2036_936006_938863,593,0
tscaffold209_662628_663315__611,0.947495,0.433354,0.699847,0.40743,tscaffold209,tscaffold209_662628_663315,611,0
tscaffold2102_1644578_1649621__4513,0.832086,0.558878,0.313388,0.96879,tscaffold2102,tscaffold2102_1644578_1649621,4513,0
tscaffold2143_491137_492638__794,0.85177,0.945902,0.957731,0.953475,tscaffold2143,tscaffold2143_491137_492638,794,0
tscaffold2143_61214_63338__1401,0.947966,0.954776,0.997809,0.805309,tscaffold2143,tscaffold2143_61214_63338,1401,0
tscaffold218_807815_821532__9663,0.666072,0.764053,0.298068,0.808554,tscaffold218,tscaffold218_807815_821532,9663,0
tscaffold2191_399192_401597__1560,0.751572,0.817454,0.849077,0.807969,tscaffold2191,tscaffold2191_399192_401597,1560,0
tscaffold2237_249110_251886__775,0.836093,0.746979,0.906886,0.494067,tscaffold2237,tscaffold2237_249110_251886,775,0
tscaffold2431_314455_317753__322,0.86137,0.882372,0.975087,0.844156,tscaffold2431,tscaffold2431_314455_317753,322,0
tscaffold2564_410505_414030__1618,0.783101,0.846614,0.897437,0.999285,tscaffold2564,tscaffold2564_410505_414030,1618,0
tscaffold2677_503000_508277__2225,0.944726,0.943345,0.868208,0.96382,tscaffold2677,tscaffold2677_503000_508277,2225,0
tscaffold269_85069_93511__7868,0.757042,0.759374,0.851706,0.581826,tscaffold269,tscaffold269_85069_93511,7868,0
tscaffold2778_253560_259238__1517,0.927655,0.954492,0.811688,0.594461,tscaffold2778,tscaffold2778_253560_259238,1517,0
tscaffold2990_91213_94673__1447,0.819936,0.659186,0.767415,0.940978,tscaffold2990,tscaffold2990_91213_94673,1447,0
tscaffold3059_147037_148918__733,0.338287,0.982007,0.305356,0.358811,tscaffold3059,tscaffold3059_147037_148918,733,0
tscaffold3221_447647_452297__1609,0.987938,0.943942,0.836987,0.793643,tscaffold3221,tscaffold3221_447647_452297,1609,0
tscaffold3301_107789_121066__4470,0.299306,0.0797599,0.412518,0.390869,tscaffold3301,tscaffold3301_107789_121066,4470,0
tscaffold3356_297518_300502__1588,0.923213,0.130478,0.485679,0.759326,tscaffold3356,tscaffold3356_297518_300502,1588,0
tscaffold3401_219433_226120__5260,0.879143,0.622759,0.844183,0.728278,tscaffold3401,tscaffold3401_219433_226120,5260,0
tscaffold3408_145695_146829__562,0.502098,0.784908,0.513168,0.818225,tscaffold3408,tscaffold3408_145695_146829,562,0
tscaffold3657_429970_430873__537,0.81465,0.935853,0.402167,0.989445,tscaffold3657,tscaffold3657_429970_430873,537,0
tscaffold3670_283537_288689__911,0.791136,0.996646,0.984611,0.946431,tscaffold3670,tscaffold3670_283537_288689,911,0
tscaffold3744_112697_117165__2647,0.547713,0.75511,0.756205,0.549312,tscaffold3744,tscaffold3744_112697_117165,2647,0
tscaffold3756_246092_248159__1657,0.806629,0.649604,0.300072,0.370265,tscaffold3756,tscaffold3756_246092_248159,1657,0
tscaffold391_89841_93754__1415,0.317025,0.394583,0.600664,0.965968,tscaffold391,tscaffold391_89841_93754,1415,0
tscaffold3945_9099_14678__2988,0.902088,0.684586,0.910062,0.754425,tscaffold3945,tscaffold3945_9099_14678,2988,0
tscaffold4014_115654_117563__1032,0.911128,0.0858699,0.45607,0.618138,tscaffold4014,tscaffold4014_115654_117563,1032,0
tscaffold4022_861309_862717__865,0.931181,0.804214,0.605395,0.73486,tscaffold4022,tscaffold4022_861309_862717,865,0
tscaffold4090_128275_129737__395,0.894901,0.930408,0.887492,0.89174,tscaffold4090,tscaffold4090_128275_129737,395,0
tscaffold4120_114933_120563__3211,0.570256,0.553634,0.455109,0.949091,tscaffold4120,tscaffold4120_114933_120563,3211,0
tscaffold4530_55225_60166__4152,0.876899,0.651693,0.927656,0.748446,tscaffold4530,tscaffold4530_55225_60166,4152,0
tscaffold4554_300326_300797__179,0.877163,0.819825,0.822713,0.206841,tscaffold4554,tscaffold4554_300326_300797,179,0
tscaffold4555_36005_37721__1164,0.671456,0.686731,0.366262,0.402975,tscaffold4555,tscaffold4555_36005_37721,1164,0
tscaffold4591_113862_115793__996,0.867194,0.807044,0.956509,0.899979,tscaffold4591,tscaffold4591_113862_115793,996,0
tscaffold4625_2503135_2507205__237,0.702191,0.962008,0.968161,0.749048,tscaffold4625,tscaffold4625_2503135_2507205,237,0
tscaffold4639_364837_365750__513,0.883084,0.846992,0.85898,0.848295,tscaffold4639,tscaffold4639_364837_365750,513,0
tscaffold4651_865404_866463__423,0.84992,0.986956,0.981421,0.704615,tscaffold4651,tscaffold4651_865404_866463,423,0
tscaffold4987_1434427_1438190__3021,0.766957,0.715663,0.808156,0.648231,tscaffold4987,tscaffold4987_1434427_1438190,3021,0
tscaffold5114_289696_292042__803,0.981305,0.808966,0.978799,0.720195,tscaffold5114,tscaffold5114_289696_292042,803,0
tscaffold5180_124015_127163__1333,0.855404,0.985969,0.919186,0.554212,tscaffold5180,tscaffold5180_124015_127163,1333,0
tscaffold5255_369606_372861__387,0.467626,0.862983,0.48048,0.803721,tscaffold5255,tscaffold5255_369606_372861,387,0
tscaffold5306_468111_477022__4961,0.531478,0.784436,0.780352,0.639782,tscaffold5306,tscaffold5306_468111_477022,4961,0
tscaffold5419_269706_273870__1509,0.938788,0.910401,0.834617,0.362723,tscaffold5419,tscaffold5419_269706_273870,1509,0
tscaffold5435_194530_195523__159,0.42456,0.464164,0.151077,0.419098,tscaffold5435,tscaffold5435_194530_195523,159,0
tscaffold5495_123940_134648__5855,0.300195,0.551189,0.311726,0.764718,tscaffold5495,tscaffold5495_123940_134648,5855,0
tscaffold5534_757786_759606__235,0.945342,0.756455,0.873744,0.723002,tscaffold5534,tscaffold5534_757786_759606,235,0
tscaffold5683_190613_192601__1934,0.839597,0.559903,0.481929,0.99653,tscaffold5683,tscaffold5683_190613_192601,1934,0
tscaffold6016_143772_151917__4706,0.126957,0.281279,0.167045,0.963292,tscaffold6016,tscaffold6016_143772_151917,4706,0
tscaffold6097_297783_298345__236,0.0364877,0.316728,0.0454176,0.980218,tscaffold6097,tscaffold6097_297783_298345,236,1
tscaffold6105_230207_234644__781,0.916379,0.875685,0.81478,0.685463,tscaffold6105,tscaffold6105_230207_234644,781,0
tscaffold6107_285866_309824__1992,0.646804,0.753074,0.560987,0.506675,tscaffold6107,tscaffold6107_285866_309824,1992,0
tscaffold616_2982131_2983807__683,0.712543,0.0844076,0.934243,0.509466,tscaffold616,tscaffold616_2982131_2983807,683,0
tscaffold6322_247463_251544__1346,0.522824,0.907239,0.459608,0.295052,tscaffold6322,tscaffold6322_247463_251544,1346,0
tscaffold6389_241375_242083__469,0.909956,0.821417,0.854478,0.350467,tscaffold6389,tscaffold6389_241375_242083,469,0
tscaffold661_474009_475441__746,0.948026,0.940047,0.909572,0.722238,tscaffold661,tscaffold661_474009_475441,746,0
tscaffold6703_240566_244288__1535,0.903819,0.709243,0.863813,0.984129,tscaffold6703,tscaffold6703_240566_244288,1535,0
tscaffold6926_301553_305945__1895,0.516651,0.879715,0.220238,0.519539,tscaffold6926,tscaffold6926_301553_305945,1895,0
tscaffold6968_195798_201254__4323,0.568886,0.743701,0.868422,0.646141,tscaffold6968,tscaffold6968_195798_201254,4323,0
tscaffold7146_247007_249793__549,0.777828,0.685724,0.888166,0.746961,tscaffold7146,tscaffold7146_247007_249793,549,0
tscaffold744_53889_55746__1654,0.603807,0.397065,0.763391,0.505985,tscaffold744,tscaffold744_53889_55746,1654,0
tscaffold7644_329506_330807__867,0.624718,0.366792,0.704568,0.272048,tscaffold7644,tscaffold7644_329506_330807,867,0
tscaffold77_100273_103597__1113,0.89477,0.691774,0.771676,0.923308,tscaffold77,tscaffold77_100273_103597,1113,0
tscaffold7874_41684_44310__1326,0.843421,0.764571,0.809685,0.904175,tscaffold7874,tscaffold7874_41684_44310,1326,0
tscaffold7937_194771_199191__1931,0.909312,0.622772,0.954376,0.288736,tscaffold7937,tscaffold7937_194771_199191,1931,0
tscaffold8093_134425_141524__1229,0.955023,0.343449,0.848924,0.332419,tscaffold8093,tscaffold8093_134425_141524,1229,0
tscaffold8213_49621_60413__4067,0.403099,0.690946,0.507799,0.749756,tscaffold8213,tscaffold8213_49621_60413,4067,0
tscaffold8469_270037_272161__1028,0.687313,0.988683,0.684482,0.671853,tscaffold8469,tscaffold8469_270037_272161,1028,0
tscaffold8541_207327_207846__320,0.829868,0.326471,0.815838,0.59245,tscaffold8541,tscaffold8541_207327_207846,320,0
tscaffold8872_27376_32335__431,0.944153,0.823778,0.985335,0.995355,tscaffold8872,tscaffold8872_27376_32335,431,0
tscaffold9019_211333_211965__283,0.757059,0.802726,0.763628,0.967756,tscaffold9019,tscaffold9019_211333_211965,283,0
tscaffold9141_329027_330170__626,0.728863,0.962378,0.607514,0.735414,tscaffold9141,tscaffold9141_329027_330170,626,0
tscaffold951_276928_281333__202,0.996253,0.965663,0.992514,0.941701,tscaffold951,tscaffold951_276928_281333,202,0
tscaffold98_129448_134127__2076,0.478968,0.35851,0.0659939,0.0650181,tscaffold98,tscaffold98_129448_134127,2076,0
C31522536_3216_5728__1643,0.317771,0.747341,0.7893,0.937847,C31522536,C31522536_3216_5728,1643,0
tscaffold1288_162215_163048__455,0.837417,0.973676,0.833481,0.642409,tscaffold1288,tscaffold1288_162215_163048,455,0
tscaffold6444_10059_13294__2818,0.854473,0.768596,0.909811,0.650595,tscaffold6444,tscaffold6444_10059_13294,2818,0
C24254458__306,0.984147,0.533282,0.956754,0.915334,C24254458,C24254458,306,0
C30104832_30_895__658,0.626559,0.921539,0.839029,0.930452,C30104832,C30104832_30_895,658,0
C30832306_1_1110__958,0.533413,0.784262,0.522316,0.984894,C30832306,C30832306_1_1110,958,0
C31961548_1725_5792__1124,0.851752,0.975011,0.939371,0.921502,C31961548,C31961548_1725_5792,1124,0
C31981946_4035_9135__4800,0.992541,0.840432,0.908528,0.422394,C31981946,C31981946_4035_9135,4800,0
C32155134_1598_12066__8927,0.772605,0.862538,0.794967,0.757759,C32155134,C32155134_1598_12066,8927,0
C32383222_7544_13258__4509,0.64134,0.500346,0.608149,0.770389,C32383222,C32383222_7544_13258,4509,0
C32502320_1969_6774__2114,0.852092,0.914952,0.733017,0.657776,C32502320,C32502320_1969_6774,2114,0
C32542280_94509_97897__1963,0.855696,0.854509,0.950449,0.941048,C32542280,C32542280_94509_97897,1963,0
C32553690_71667_76472__3333,0.770111,0.607467,0.688318,0.832878,C32553690,C32553690_71667_76472,3333,0
scaffold102409_135151_142123__3008,0.631305,0.928144,0.631815,0.919786,scaffold102409,scaffold102409_135151_142123,3008,0
scaffold104652_110811_115460__2522,0.892416,0.983994,0.929963,0.851638,scaffold104652,scaffold104652_110811_115460,2522,0
scaffold108397.2_23836_24750__883,0.845961,0.935898,0.91711,0.840862,scaffold108397.2,scaffold108397.2_23836_24750,883,0
scaffold13004.2_182054_191559__2787,0.989882,0.868257,0.914017,0.52582,scaffold13004.2,scaffold13004.2_182054_191559,2787,0
scaffold149465.1_100029_105081__1482,0.191757,0.739873,0.337169,0.552908,scaffold149465.1,scaffold149465.1_100029_105081,1482,0
scaffold154245_14867_16865__1177,0.868774,0.666025,0.766327,0.914084,scaffold154245,scaffold154245_14867_16865,1177,0
scaffold154437.1_105835_107943__1348,0.799072,0.250005,0.974648,0.769483,scaffold154437.1,scaffold154437.1_105835_107943,1348,0
scaffold154587.2_36692_38088__1126,0.835626,0.777993,0.858679,0.964966,scaffold154587.2,scaffold154587.2_36692_38088,1126,0
scaffold175101_21238_23046__1460,0.639696,0.743376,0.769898,0.925047,scaffold175101,scaffold175101_21238_23046,1460,0
scaffold178415.2_28612_32130__2544,0.787952,0.410389,0.733465,0.541616,scaffold178415.2,scaffold178415.2_28612_32130,2544,0
scaffold178951.1_107338_110010__2288,0.636315,0.956367,0.641268,0.909114,scaffold178951.1,scaffold178951.1_107338_110010,2288,0
scaffold184153.1_10674_16286__3175,0.858872,0.65995,0.980467,0.937525,scaffold184153.1,scaffold184153.1_10674_16286,3175,0
scaffold194745_59066_69093__3415,0.879446,0.576688,0.389865,0.789016,scaffold194745,scaffold194745_59066_69093,3415,0
scaffold195285_11228_22147__10696,0.966191,0.852714,0.620026,0.465926,scaffold195285,scaffold195285_11228_22147,10696,0
scaffold210842_80744_82017__976,0.917392,0.668825,0.961651,0.950467,scaffold210842,scaffold210842_80744_82017,976,0
scaffold217906_46175_53385__845,0.683248,0.835264,0.966367,0.72037,scaffold217906,scaffold217906_46175_53385,845,0
